product_i,HS_code,HS_description,cluster_labels
8113,8113,"Cermets and articles thereof, including waste and scrap.",8
8202,8202,"Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades).",8
8207,8207,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screw driving), including die",8
8406,8406,Steam turbines and other vapour turbines.,8
8420,8420,"Calendering or other rolling machines, other than for metals or glass, and cylinders therefor.",8
8439,8439,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.,8
8448,8448,"Auxiliary machinery for use with machines of heading No.84.44, 84.45, 84.46 or 84.47 (for example, dobbies, Jacquards, automatic stop motions, shuttle changing mechanisms); parts and accessories suitable for use solely or principally wi",8
8451,8451,"Machinery (other than machines of heading No.84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up",8
8454,8454,"Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries.",8
8455,8455,Metal-rolling mills and rolls therefor.,8
8456,8456,"Machine-tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron beam, ionic-beam or plasma arc processes.",8
8458,8458,Lathes (including turning centres) for removing metal.,8
8460,8460,"Machine-tools for deburring, sharpening, grinding,honing, lapping, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, other than gear cutting, gear grinding or gear finishing",8
8461,8461,"Machine-tools for planing, shaping, slotting, broaching, gear cutting, gear grinding or gear finishing, sawing, cutting-off and other machine-tools working by removing metal or cermets, not elsewhere specified or included",8
8462,8462,"Machine-tools (including presses) for working metal by forging, hammering or die-stamping; machine-tools (including presses) for working metal by bending, folding, straightening, flattening, shearing, punching or notching; presses for w",8
8464,8464,"Machine-tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass.",8
8466,8466,"Parts and accessories suitable for use solely or principally with the machines of headings Nos.84.56 to 84.65, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine-tools; tool h",8
8467,8467,"Tools for working in the hand, pneumatic, hydraulic or with self-contained non-electric motor.",8
8475,8475,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware.",8
8477,8477,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.",8
8479,8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter.",8
8480,8480,"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than ingot moulds), metal carbides, glass, mineral materials, rubber or plastics.",8
8482,8482,Ball or roller bearings.,8
8483,8483,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearings; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels an",8
8484,8484,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or si",8
8514,8514,Industrial or laboratory electric (including induction or dielectric) furnaces and ovens; other industrial or laboratory induction or dielectric heating equipment.,8
8515,8515,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric",8
8601,8601,Rail locomotives powered from an external source of electricity or by electric accumulators.,8
8603,8603,"Self-propelled railway or tramway coaches, vans and trucks, other than those of heading No. 86.04.",8
8604,8604,"Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles).",8
8605,8605,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading No. 86.04).",8
9031,9031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors.",8
9302,9302,"Revolvers and pistols, other than those of heading No. 93.03 or 93.04.",8
9304,9304,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading No. 93.07.",8
